Subject ID,Duration,PK OR,PK Terms,PK Total,Intrinsic Load,Extraneous Load,Germane Load,Head Score,Tired Dif,Stress Dif,Annoy Dif,Bored Dif,Distract Dif,Retention OR1,Retention OR2,Retention OR Total,Retention OR %,Retention MC,Retention MC %,Retention Total,Retention Total %,Transfer MC,Transfer MC%,Transfer OR,Transfer OR%,Transfer Total,Transfer Total %,Age ,Gender,Fluency,Native,Relevancy,Animated?,Condition
142,25.76666667,1,3,5,1.666666667,5.5,3.666666667,2,0,-1,-2,0,0,0,0,0,0,7,0.5,7,0.2,2,0.666666667,3,0.272727273,5,0.357142857,19,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
143,18.63333333,1,5,7,3.333333333,3,6,3,1,3,0,-1,-1,0,3,3,0.142857143,10,0.714285714,13,0.371428571,3,1,3,0.272727273,6,0.428571429,21,Male,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
144,22.48333333,0,4,7,6.666666667,7,6,4,-1,1,4,2,1,0,0,0,0,5,0.357142857,5,0.142857143,1,0.333333333,4,0.363636364,5,0.357142857,20,Male,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
145,28.25,1,4,6,5.666666667,10,6.333333333,3,0,1,0,0,0,0,4,4,0.19047619,8,0.571428571,12,0.342857143,2,0.666666667,1,0.090909091,3,0.214285714,19,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
146,19.66666667,0,7,9,4.666666667,5.5,7,4,0,0,0,-1,0,0,0,0,0,5,0.357142857,5,0.142857143,1,0.333333333,2,0.181818182,3,0.214285714,20,Female,Non-Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
147,36.56666667,5,13,21,5,7,4.666666667,3,0,0,0,1,1,9,1,10,0.476190476,13,0.928571429,23,0.657142857,3,1,4,0.363636364,7,0.5,21,Male,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
148,19.75,1,4,6,6,8,1,2,-1,-1,0,-1,-2,0,1,1,0.047619048,9,0.642857143,10,0.285714286,3,1,3,0.272727273,6,0.428571429,22,Male,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
149,14.58333333,0,8,11,1.666666667,0,1,1,-2,-3,-4,-1,0,0,1,1,0.047619048,11,0.785714286,12,0.342857143,2,0.666666667,1,0.090909091,3,0.214285714,19,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
150,11.81666667,1,2,5,7.666666667,10,10,1,2,2,2,2,2,0,1,1,0.047619048,9,0.642857143,10,0.285714286,2,0.666666667,1,0.090909091,3,0.214285714,27,Male,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
151,17.5,0,5,6,8.666666667,6.5,3,3,-2,1,-1,-2,-2,2,1,3,0.142857143,8,0.571428571,11,0.314285714,2,0.666666667,3,0.272727273,5,0.357142857,23,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
