Participant ID ,Qualtrics ID,Duration (min),PK OR ,PK Self-Rating,PK Terms,PK Total,Intrinsic Load,Extraneous Load,Germane Load,Retention OR1,Retention OR2,Retention OR3,OR Retention Total,MC Retention,Retention Total,Transfer OR1,Transfer OR2,Transfer OR3,Transfer OR Total,Transfer MC,Transfer Total,Delay,Relevancy,Animated?,Fluent,Native
406,R_1pQlmc78jFWhUFR,18.96666667,0,3,4,7,1,6.5,10,1,2,1,4,8,12,1,1,0,2,1,3,Delayed,Relevant,Static,1,1
407,R_2ceDyflbd3GlBCe,17.31666667,1,1,11,13,3.333333333,7.5,7,1,0,1,2,10,12,0,1,1,2,1,3,Immediate,Relevant,Static,1,1
408,R_3qPbkrIerlWCZ31,17.73333333,1,2,3,6,4,5.25,7.333333333,1,0,0,1,10,11,1,1,0,2,2,4,Delayed,Irrelevant,Static,1,2
409,R_2AKJ9bHROHLDYH9,19.46666667,2,2,4,8,2.666666667,4.5,8,5,1,2,8,13,21,0,2,1,3,3,6,Delayed,Relevant,Animation,1,2
410,R_2YlIpZUY7mX4CUs,16.06666667,0,1,4,5,6,8,6.666666667,4,0,1,5,10,15,1,0,0,1,3,4,Immediate,Irrelevant,Animation,1,1
411,R_2a9zVOSDKv44tDh,17.05,0,1,5,6,3,8.5,6,1,0,0,1,9,10,1,0,1,2,0,2,Immediate,Irrelevant,Animation,1,1
412,R_2zHGyvhYnPwktVR,27.11666667,0,1,0,1,5,8.5,8.333333333,3,3,2,8,12,20,2,0,0,2,2,4,Delayed,Relevant,Animation,1,1
413,R_1LUoJWBKJnUGidw,15.73333333,0,4,6,10,1,7,7,3,0,0,3,7,10,0,1,0,1,2,3,Delayed,Irrelevant,Static,1,1
414,R_vx0gOsFRAFlJQSR,20.4,0,1,9,10,4.333333333,9,6,4,0,1,5,11,16,2,1,1,4,3,7,Delayed,Relevant,Animation,1,1
415,R_ONKGtz0lnpF1p1n,20.53333333,0,1,1,2,3.666666667,1.25,0,1,0,0,1,7,8,1,1,1,3,2,5,Immediate,Relevant,Static,1,1
416,R_3G7WUKEfQEVrXsW,28.66666667,0,2,1,3,6.666666667,6.5,8.666666667,5,0,0,5,8,13,0,1,1,2,3,5,Immediate,Relevant,Static,1,1
